lot_frontage,lot_area,lot_frontage_imputed
60.0,5400,60
85.0,10000,85
72.0,10007,72
52.0,7830,52
90.0,11727,90
60.0,10320,60
65.0,10482,65
110.0,15274,110
61.0,8800,61
75.0,10000,75
78.0,10140,78
58.0,14054,58
70.0,11218,70
74.0,8856,74
65.0,7800,65
60.0,7200,60
89.0,10680,89
59.0,9535,59
66.0,6858,66
75.0,8100,75
,9216,67
50.0,9100,50
67.0,12774,67
50.0,6000,50
,10364,71
50.0,6000,50
,10530,71
75.0,9525,75
,8880,67
82.0,8410,82
42.0,4385,42
100.0,12919,100
82.0,12464,82
43.0,5005,43
76.0,9591,76
70.0,6960,70
75.0,9825,75
88.0,14175,88
74.0,7400,74
88.0,10738,88
65.0,8366,65
70.0,9842,70
60.0,7200,60
60.0,10230,60
52.0,8626,52
74.0,8834,74
60.0,8544,60
68.0,9179,68
79.0,11526,79
70.0,5684,70
,11885,75
80.0,9600,80
114.0,17242,114
75.0,10215,75
60.0,8550,60
,18450,92
,14778,82
30.0,3180,30
52.0,3068,52
68.0,8298,68
104.0,13518,104
90.0,33120,90
,13142,78
107.0,11362,107
92.0,10845,92
21.0,1936,21
80.0,9760,80
66.0,3960,66
70.0,9100,70
80.0,9600,80
57.0,9764,57
60.0,8430,60
50.0,9060,50
66.0,12778,66
60.0,8172,60
64.0,9037,64
52.0,6292,52
85.0,11900,85
70.0,7945,70
134.0,16659,134
50.0,9340,50
,11454,73
80.0,8480,80
65.0,6305,65
82.0,9709,82
60.0,10930,60
,50102,177
74.0,8899,74
65.0,10237,65
80.0,9736,80
24.0,2364,24
55.0,7892,55
95.0,12350,95
62.0,7917,62
60.0,7200,60
,12155,75
,7446,63
105.0,11025,105
65.0,7832,65
134.0,19378,134
,9830,69
,4403,55
,8174,65
60.0,7200,60
69.0,7590,69
,8795,66
44.0,3843,44
85.0,11075,85
76.0,10142,76
56.0,7741,56
65.0,8139,65
45.0,8982,45
51.0,6120,51
70.0,16561,70
56.0,4060,56
24.0,2308,24
52.0,6240,52
,8789,66
64.0,5587,64
66.0,9042,66
57.0,8923,57
75.0,12518,75
85.0,11069,85
80.0,8800,80
96.0,13262,96
,7758,64
43.0,12118,43
80.0,9600,80
100.0,9500,100
50.0,7175,50
,11200,73
110.0,14226,110
24.0,2760,24
85.0,11050,85
60.0,7200,60
79.0,12420,79
51.0,6120,51
55.0,7111,55
66.0,19255,66
70.0,8120,70
92.0,11952,92
43.0,3182,43
51.0,9842,51
,8020,64
,11341,73
76.0,12436,76
75.0,12192,75
44.0,3842,44
21.0,1936,21
74.0,13101,74
67.0,9808,67
,8145,65
73.0,17227,73
60.0,5280,60
89.0,11792,89
40.0,3876,40
107.0,13891,107
50.0,6000,50
80.0,8240,80
50.0,9405,50
85.0,10625,85
70.0,9247,70
96.0,10628,96
,11000,72
54.0,9399,54
60.0,7200,60
78.0,10264,78
,13215,78
81.0,10530,81
50.0,6000,50
70.0,7703,70
35.0,4251,35
88.0,12128,88
,3072,51
58.0,8410,58
49.0,15218,49
,14364,81
70.0,8680,70
80.0,9600,80
91.0,11778,91
59.0,15810,59
91.0,11024,91
,8970,67
60.0,10800,60
25.0,4835,25
53.0,3710,53
51.0,6120,51
80.0,9600,80
91.0,14145,91
70.0,9926,70
50.0,8012,50
80.0,10240,80
,10762,72
80.0,8000,80
21.0,1680,21
105.0,13693,105
85.0,10625,85
60.0,7200,60
24.0,1612,24
84.0,10207,84
64.0,10475,64
33.0,5976,33
85.0,10625,85
,53107,185
40.0,5680,40
66.0,12400,66
65.0,6768,65
50.0,6000,50
75.0,12508,75
62.0,7415,62
88.0,11762,88
65.0,8767,65
60.0,8190,60
75.0,7500,75
62.0,70761,62
32.0,3784,32
44.0,4224,44
57.0,9245,57
,14781,82
60.0,8544,60
62.0,7440,62
62.0,7404,62
67.0,4853,67
59.0,10593,59
78.0,12090,78
,11677,74
,11000,72
50.0,8000,50
51.0,8029,51
,13495,79
60.0,9738,60
68.0,9272,68
48.0,7841,48
,8530,66
,13041,78
200.0,43500,200
52.0,6240,52
95.0,13015,95
63.0,9297,63
57.0,8773,57
74.0,8536,74
59.0,4282,59
,8740,66
65.0,10237,65
75.0,7950,75
128.0,39290,128
80.0,10400,80
85.0,10628,85
24.0,2280,24
64.0,7018,64
75.0,10762,75
60.0,7024,60
50.0,7585,50
67.0,8777,67
70.0,9170,70
66.0,7742,66
64.0,8791,64
60.0,19800,60
90.0,13339,90
65.0,8125,65
78.0,11419,78
72.0,7226,72
60.0,11100,60
80.0,12435,80
57.0,6420,57
59.0,16466,59
65.0,6285,65
71.0,9204,71
78.0,12011,78
108.0,14774,108
,11792,74
60.0,8064,60
50.0,7175,50
72.0,10820,72
34.0,5381,34
50.0,5000,50
55.0,8674,55
85.0,13175,85
,11275,73
60.0,9600,60
120.0,9000,120
74.0,9990,74
50.0,6000,50
85.0,10533,85
,11692,74
,12546,76
,21695,101
77.0,9278,77
90.0,8100,90
129.0,16737,129
80.0,9200,80
73.0,9801,73
150.0,14137,150
,14762,82
117.0,15262,117
75.0,9742,75
74.0,8532,74
79.0,10634,79
65.0,14753,65
87.0,18386,87
60.0,12450,60
,7851,64
50.0,5175,50
,8398,65
53.0,3710,53
60.0,7500,60
62.0,8010,62
,12800,77
82.0,11070,82
,12224,76
50.0,6953,50
100.0,11824,100
153.0,4118,153
35.0,3907,35
57.0,8918,57
76.0,9591,76
,14115,81
75.0,9675,75
21.0,1974,21
85.0,11475,85
,21533,100
50.0,9350,50
59.0,8198,59
,13250,78
52.0,51974,52
94.0,22136,94
65.0,8944,65
,9839,69
52.0,6292,52
88.0,9680,88
82.0,9452,82
60.0,9144,60
70.0,8425,70
63.0,9084,63
50.0,7420,50
57.0,7677,57
58.0,16770,58
,16545,87
60.0,11414,60
116.0,13501,116
59.0,9434,59
35.0,3675,35
21.0,1890,21
87.0,11029,87
75.0,10084,75
68.0,9543,68
94.0,13005,94
24.0,2280,24
43.0,12712,43
80.0,10000,80
85.0,10574,85
94.0,9400,94
73.0,9802,73
96.0,13132,96
120.0,13728,120
60.0,6600,60
60.0,10320,60
65.0,14006,65
,16635,87
56.0,8398,56
70.0,9100,70
,14171,81
107.0,13891,107
,12968,77
24.0,2280,24
50.0,7000,50
21.0,1680,21
21.0,2217,21
,11500,74
60.0,7200,60
69.0,12366,69
80.0,10721,80
92.0,10732,92
80.0,10791,80
34.0,5122,34
,9928,69
,7791,64
58.0,8154,58
100.0,10839,100
64.0,9045,64
58.0,10852,58
70.0,8400,70
,16381,87
135.0,12304,135
80.0,11584,80
82.0,10672,82
60.0,7230,60
75.0,8512,75
,20781,98
85.0,12633,85
66.0,8712,66
,12537,76
74.0,9620,74
35.0,3907,35
79.0,9236,79
80.0,11600,80
84.0,10603,84
100.0,13350,100
80.0,9200,80
21.0,1495,21
81.0,15593,81
110.0,13688,110
45.0,8248,45
50.0,6000,50
65.0,8453,65
96.0,12444,96
79.0,11449,79
,12342,76
57.0,7558,57
80.0,10400,80
60.0,7500,60
